dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019
23/4/2020,23,4,2020,2,0,Hong Kong,HK,HKG,7451000
22/4/2020,22,4,2020,4,0,Hong Kong,HK,HKG,7451000
21/4/2020,21,4,2020,4,0,Hong Kong,HK,HKG,7451000
20/4/2020,20,4,2020,0,0,Hong Kong,HK,HKG,7451000
19/4/2020,19,4,2020,2,0,Hong Kong,HK,HKG,7451000
18/4/2020,18,4,2020,2,0,Hong Kong,HK,HKG,7451000
17/4/2020,17,4,2020,4,0,Hong Kong,HK,HKG,7451000
16/4/2020,16,4,2020,1,0,Hong Kong,HK,HKG,7451000
15/4/2020,15,4,2020,4,0,Hong Kong,HK,HKG,7451000
14/4/2020,14,4,2020,3,0,Hong Kong,HK,HKG,7451000
13/4/2020,13,4,2020,5,0,Hong Kong,HK,HKG,7451000
12/4/2020,12,4,2020,4,0,Hong Kong,HK,HKG,7451000
11/4/2020,11,4,2020,11,0,Hong Kong,HK,HKG,7451000
10/4/2020,10,4,2020,16,0,Hong Kong,HK,HKG,7451000
9/4/2020,9,4,2020,13,0,Hong Kong,HK,HKG,7451000
8/4/2020,8,4,2020,25,0,Hong Kong,HK,HKG,7451000
7/4/2020,7,4,2020,21,0,Hong Kong,HK,HKG,7451000
6/4/2020,6,4,2020,24,0,Hong Kong,HK,HKG,7451000
5/4/2020,5,4,2020,29,0,Hong Kong,HK,HKG,7451000
4/4/2020,4,4,2020,17,0,Hong Kong,HK,HKG,7451000
3/4/2020,3,4,2020,43,0,Hong Kong,HK,HKG,7451000
2/4/2020,2,4,2020,37,0,Hong Kong,HK,HKG,7451000
1/4/2020,1,4,2020,51,0,Hong Kong,HK,HKG,7451000
31/3/2020,31,3,2020,32,0,Hong Kong,HK,HKG,7451000
30/3/2020,30,3,2020,41,0,Hong Kong,HK,HKG,7451000
29/3/2020,29,3,2020,80,0,Hong Kong,HK,HKG,7451000
28/3/2020,28,3,2020,42,0,Hong Kong,HK,HKG,7451000
27/3/2020,27,3,2020,66,0,Hong Kong,HK,HKG,7451000
26/3/2020,26,3,2020,43,0,Hong Kong,HK,HKG,7451000
25/3/2020,25,3,2020,24,0,Hong Kong,HK,HKG,7451000
24/3/2020,24,3,2020,30,0,Hong Kong,HK,HKG,7451000
23/3/2020,23,3,2020,39,0,Hong Kong,HK,HKG,7451000
22/3/2020,22,3,2020,44,0,Hong Kong,HK,HKG,7451000
21/3/2020,21,3,2020,17,0,Hong Kong,HK,HKG,7451000
20/3/2020,20,3,2020,48,0,Hong Kong,HK,HKG,7451000
19/3/2020,19,3,2020,27,0,Hong Kong,HK,HKG,7451000
18/3/2020,18,3,2020,19,0,Hong Kong,HK,HKG,7451000
17/3/2020,17,3,2020,7,0,Hong Kong,HK,HKG,7451000
16/3/2020,16,3,2020,10,0,Hong Kong,HK,HKG,7451000
15/3/2020,15,3,2020,5,0,Hong Kong,HK,HKG,7451000
14/3/2020,14,3,2020,6,0,Hong Kong,HK,HKG,7451000
13/3/2020,13,3,2020,5,1,Hong Kong,HK,HKG,7451000
12/3/2020,12,3,2020,3,0,Hong Kong,HK,HKG,7451000
